climate	клімат
drought	засуха
earthquake	землетрус
flood	повінь
flooding	повінь / затоплення
forest fire	лісова пожежа
tornado	торнадо
tsunami	цунамі
typhoon	тайфун
volcanic eruption	виверження вулкану
animal shelter	притулок для тварин
be bitten by mosquitoes	бути покусаним комарами
be stung on the arm by a wasp	бути вжаленим осою в руку
cage	клітка
come to sb's rescue	приходити комусь на допомогу
go to sb's rescue	йти комусь на допомогу
crop failure	неврожай
evacuate	евакуювати
evacuation	евакуація
feed	годувати
flood damage	збитки від повені
future generations	майбутні покоління
grow vegetables	вирощувати овочі
grow crops	вирощувати сільськогосподарські культури
iceberg	айсберг
melt	танути
natural fertiliser	природні добрива
artificial fertiliser	штучні (хімічні) добрива
pesticides	пестициди
reduce	зменшувати
rescue	рятувати / порятунок
rescue operation	операція з порятунку
save sb from death	врятувати когось від смерті
save sth from death	врятувати щось від загибелі
season of the year	пора року
survivor of a tsunami	особа, яка пережила цунамі
threat	загроза
danger	небезпека
victim of an earthquake	потерпілий від землетрусу
wave	хвиля
in season	в сезон
